	Sort	Isolate Sort	Virus GENBANK accession	Species	Genome coverage	Genus
11957	11938.0	2	AY666015	Singapore grouper iridovirus	Complete genome	Ranavirus
11960	11941.0	2	HF920634	Invertebrate iridescent virus 22	Complete genome	Chloriridovirus
11961	11942.0	3	HF920636	Invertebrate iridescent virus 22	Complete genome	Chloriridovirus
11967	11948.0	2	MF197913	Decapod iridescent virus 1	Complete genome	Decapodiridovirus
11977	11958.0	2	FN557520	African swine fever virus	Complete genome	Asfivirus
11978	11959.0	3	KM262844	African swine fever virus	Complete genome	Asfivirus
11979	11960.0	4	AM712239	African swine fever virus	Complete genome	Asfivirus
11980	11961.0	5	FR682468	African swine fever virus	Complete genome	Asfivirus
11981	11962.0	6	KP055815	African swine fever virus	Coding-complete genome	Asfivirus
11982	11963.0	7	AM712240	African swine fever virus	Complete genome	Asfivirus
11983	11964.0	8	KM262845	African swine fever virus	Complete genome	Asfivirus
11984	11965.0	9	AY261360	African swine fever virus	Complete genome	Asfivirus
11985	11966.0	10	KM111294	African swine fever virus	Complete genome	Asfivirus
11986	11967.0	11	KM111295	African swine fever virus	Complete genome	Asfivirus
11987	11968.0	12	KM102979	African swine fever virus	Complete genome	Asfivirus
11988	11969.0	13	KP843857	African swine fever virus	Complete genome	Asfivirus
11989	11970.0	14	AY261366	African swine fever virus	Complete genome	Asfivirus
11990	11971.0	15	AY261365	African swine fever virus	Complete genome	Asfivirus
11991	11972.0	16	AY261364	African swine fever virus	Complete genome	Asfivirus
11992	11973.0	17	AY261363	African swine fever virus	Complete genome	Asfivirus
11993	11974.0	18	AY261362	African swine fever virus	Complete genome	Asfivirus
11994	11975.0	19	AY261361	African swine fever virus	Complete genome	Asfivirus
11995	11976.0	20	KX354450	African swine fever virus	Complete genome	Asfivirus
12047	12028.0	2	EF420156	Tanapox virus	Complete genome	Yatapoxvirus
12106	12087.0	2	AF207658	Bovine atadenovirus D	Partial genome	Atadenovirus
12107	12088.0	3	AF238233	Bovine atadenovirus D	Partial genome	Atadenovirus
12119	12100.0	2	MH777395	Duck aviadenovirus B	Complete genome	Aviadenovirus
12124	12105.0	2	MK572851	Fowl aviadenovirus C	Complete genome	Aviadenovirus
12126	12107.0	2	KT862806	Fowl aviadenovirus D	Complete genome	Aviadenovirus
12127	12108.0	3	KT862807	Fowl aviadenovirus D	Complete genome	Aviadenovirus
12128	12109.0	4	KT862812	Fowl aviadenovirus D	Complete genome	Aviadenovirus
12130	12111.0	2	KT862809	Fowl aviadenovirus E	Complete genome	Aviadenovirus
12131	12112.0	3	KT862810	Fowl aviadenovirus E	Complete genome	Aviadenovirus
12132	12113.0	4	KT862811	Fowl aviadenovirus E	Complete genome	Aviadenovirus
12143	12124.0	2	LC385828	Bat mastadenovirus A	Complete genome	Mastadenovirus
12149	12130.0	2	KX961096	Bat mastadenovirus F	Complete genome	Mastadenovirus
12158	12139.0	2	U77082	Canine mastadenovirus A	Complete genome	Mastadenovirus
12159	12140.0	3	KM043107	Canine mastadenovirus A	Partial genome	Mastadenovirus
12167	12148.0	2	GU191019	Human mastadenovirus A	Complete genome	Mastadenovirus
12168	12149.0	3	AM749299	Human mastadenovirus A	Complete genome	Mastadenovirus
12169	12150.0	4	KF360047	Human mastadenovirus A	Complete genome	Mastadenovirus
12171	12152.0	2	AY495969	Human mastadenovirus B	Complete genome	Mastadenovirus
12172	12153.0	3	AY163756	Human mastadenovirus B	Complete genome	Mastadenovirus
12173	12154.0	4	AY803294	Human mastadenovirus B	Complete genome	Mastadenovirus
12174	12155.0	5	AY601636	Human mastadenovirus B	Complete genome	Mastadenovirus
12175	12156.0	6	AY601633	Human mastadenovirus B	Complete genome	Mastadenovirus
12176	12157.0	7	AY737797	Human mastadenovirus B	Complete genome	Mastadenovirus
12177	12158.0	8	AY128640	Human mastadenovirus B	Complete genome	Mastadenovirus
12178	12159.0	9	AY737798	Human mastadenovirus B	Complete genome	Mastadenovirus
12179	12160.0	10	FJ643676	Human mastadenovirus B	Complete genome	Mastadenovirus
12180	12161.0	11	AR101858	Human mastadenovirus B	Complete genome	Mastadenovirus
12181	12162.0	12	HC084988	Human mastadenovirus B	Complete genome	Mastadenovirus
12182	12163.0	13	FJ025915	Human mastadenovirus B	Complete genome	Mastadenovirus
12183	12164.0	14	HC085020	Human mastadenovirus B	Complete genome	Mastadenovirus
12184	12165.0	15	HC085052	Human mastadenovirus B	Complete genome	Mastadenovirus
12185	12166.0	16	HC085083	Human mastadenovirus B	Complete genome	Mastadenovirus
12186	12167.0	17	FJ025910	Human mastadenovirus B	Complete genome	Mastadenovirus
12187	12168.0	18	HI964271	Human mastadenovirus B	Complete genome	Mastadenovirus
12188	12169.0	19	FJ025930	Human mastadenovirus B	Complete genome	Mastadenovirus
12189	12170.0	20	FJ025929	Human mastadenovirus B	Complete genome	Mastadenovirus
12191	12172.0	2	AF534906	Human mastadenovirus C	Complete genome	Mastadenovirus
12192	12173.0	3	M73260	Human mastadenovirus C	Complete genome	Mastadenovirus
12193	12174.0	4	FJ349096	Human mastadenovirus C	Complete genome	Mastadenovirus
12194	12175.0	5	HC000816	Human mastadenovirus C	Complete genome	Mastadenovirus
12195	12176.0	6	HC000847	Human mastadenovirus C	Complete genome	Mastadenovirus
12196	12177.0	7	HC000785	Human mastadenovirus C	Complete genome	Mastadenovirus
12197	12178.0	8	HC191035	Human mastadenovirus C	Complete genome	Mastadenovirus
12198	12179.0	9	FJ025900	Human mastadenovirus C	Complete genome	Mastadenovirus
12199	12180.0	10	FJ025899	Human mastadenovirus C	Complete genome	Mastadenovirus
12200	12181.0	11	FJ025901	Human mastadenovirus C	Complete genome	Mastadenovirus
12201	12182.0	12	CS138463	Human mastadenovirus C	Complete genome	Mastadenovirus
12203	12184.0	2	AB448767	Human mastadenovirus D	Complete genome	Mastadenovirus
12204	12185.0	3	JN226746	Human mastadenovirus D	Complete genome	Mastadenovirus
12205	12186.0	4	JN226747	Human mastadenovirus D	Complete genome	Mastadenovirus
12206	12187.0	5	AB562586	Human mastadenovirus D	Complete genome	Mastadenovirus
12207	12188.0	6	AF108105	Human mastadenovirus D	Complete genome	Mastadenovirus
12208	12189.0	7	JQ326209	Human mastadenovirus D	Complete genome	Mastadenovirus
12209	12190.0	8	JN226749	Human mastadenovirus D	Complete genome	Mastadenovirus
12210	12191.0	9	FJ404771	Human mastadenovirus D	Complete genome	Mastadenovirus
12211	12192.0	10	JN226750	Human mastadenovirus D	Complete genome	Mastadenovirus
12212	12193.0	11	JN226751	Human mastadenovirus D	Complete genome	Mastadenovirus
12213	12194.0	12	JN226752	Human mastadenovirus D	Complete genome	Mastadenovirus
12214	12195.0	13	EF153474	Human mastadenovirus D	Complete genome	Mastadenovirus
12215	12196.0	14	JN226753	Human mastadenovirus D	Complete genome	Mastadenovirus
12216	12197.0	15	FJ824826	Human mastadenovirus D	Complete genome	Mastadenovirus
12217	12198.0	16	JN226754	Human mastadenovirus D	Complete genome	Mastadenovirus
12218	12199.0	17	JN226755	Human mastadenovirus D	Complete genome	Mastadenovirus
12219	12200.0	18	JN226756	Human mastadenovirus D	Complete genome	Mastadenovirus
12220	12201.0	19	JN226758	Human mastadenovirus D	Complete genome	Mastadenovirus
12221	12202.0	20	GQ384080	Human mastadenovirus D	Complete genome	Mastadenovirus
12222	12203.0	21	DQ900900	Human mastadenovirus D	Complete genome	Mastadenovirus
12223	12204.0	22	JN226759	Human mastadenovirus D	Complete genome	Mastadenovirus
12224	12205.0	23	JN226760	Human mastadenovirus D	Complete genome	Mastadenovirus
12225	12206.0	24	JN226761	Human mastadenovirus D	Complete genome	Mastadenovirus
12226	12207.0	25	JN226762	Human mastadenovirus D	Complete genome	Mastadenovirus
12227	12208.0	26	JN226763	Human mastadenovirus D	Complete genome	Mastadenovirus
12228	12209.0	27	JN226764	Human mastadenovirus D	Complete genome	Mastadenovirus
12229	12210.0	28	AY875648	Human mastadenovirus D	Complete genome	Mastadenovirus
12230	12211.0	29	JN226757	Human mastadenovirus D	Complete genome	Mastadenovirus
12231	12212.0	30	EF153473	Human mastadenovirus D	Complete genome	Mastadenovirus
12232	12213.0	31	DQ393829	Human mastadenovirus D	Complete genome	Mastadenovirus
12233	12214.0	32	JN226765	Human mastadenovirus D	Complete genome	Mastadenovirus
12234	12215.0	33	FJ169625	Human mastadenovirus D	Complete genome	Mastadenovirus
12235	12216.0	34	AB333801	Human mastadenovirus D	Complete genome	Mastadenovirus
12236	12217.0	35	HM770721	Human mastadenovirus D	Complete genome	Mastadenovirus
12238	12219.0	2	AY530876	Human mastadenovirus E	Complete genome	Mastadenovirus
12239	12220.0	3	AY530877	Human mastadenovirus E	Complete genome	Mastadenovirus
12240	12221.0	4	AY530878	Human mastadenovirus E	Complete genome	Mastadenovirus
12241	12222.0	5	AF394196	Human mastadenovirus E	Complete genome	Mastadenovirus
12242	12223.0	6	HB426768	Human mastadenovirus E	Complete genome	Mastadenovirus
12243	12224.0	7	FJ025920	Human mastadenovirus E	Complete genome	Mastadenovirus
12244	12225.0	8	HC191003	Human mastadenovirus E	Complete genome	Mastadenovirus
12245	12226.0	9	FJ025919	Human mastadenovirus E	Complete genome	Mastadenovirus
12246	12227.0	10	HB426671	Human mastadenovirus E	Complete genome	Mastadenovirus
12247	12228.0	11	HB426607	Human mastadenovirus E	Complete genome	Mastadenovirus
12248	12229.0	12	CS138464	Human mastadenovirus E	Complete genome	Mastadenovirus
12249	12230.0	13	JN254802	Human mastadenovirus E	Complete genome	Mastadenovirus
12251	12232.0	2	DQ315364	Human mastadenovirus F	Complete genome	Mastadenovirus
12253	12234.0	2	DQ923122	Human mastadenovirus G	Complete genome	Mastadenovirus
12254	12235.0	3	MG969551	Human mastadenovirus G	Complete genome	Mastadenovirus
12255	12236.0	4	DQ792570	Human mastadenovirus G	Complete genome	Mastadenovirus
12256	12237.0	5	KP329562	Human mastadenovirus G	Complete genome	Mastadenovirus
12257	12238.0	6	KP853123	Human mastadenovirus G	Partial genome	Mastadenovirus
12258	12239.0	7	KP853109	Human mastadenovirus G	Partial genome	Mastadenovirus
12259	12240.0	8	KM591901	Human mastadenovirus G	Complete genome	Mastadenovirus
12260	12241.0	9	KM591902	Human mastadenovirus G	Complete genome	Mastadenovirus
12261	12242.0	10	KM591903	Human mastadenovirus G	Complete genome	Mastadenovirus
12262	12243.0	11	MF198452	Human mastadenovirus G	Complete genome	Mastadenovirus
12267	12248.0	2	DQ630755	Ovine mastadenovirus A	Partial genome	Mastadenovirus
12268	12249.0	3	DQ630756	Ovine mastadenovirus A	Partial genome	Mastadenovirus
12269	12250.0	4	DQ630757	Ovine mastadenovirus A	Partial genome	Mastadenovirus
12270	12251.0	5	DQ630758	Ovine mastadenovirus A	Partial genome	Mastadenovirus
12276	12257.0	2	L43364	Porcine mastadenovirus A	Partial genome	Mastadenovirus
12281	12262.0	2	KP853121	Simian mastadenovirus A	Partial genome	Mastadenovirus
12282	12263.0	3	JQ776547	Simian mastadenovirus A	Complete genome	Mastadenovirus
12283	12264.0	4	KP853122	Simian mastadenovirus A	Partial genome	Mastadenovirus
12284	12265.0	5	KP853110	Simian mastadenovirus A	Partial genome	Mastadenovirus
12285	12266.0	6	KP853124	Simian mastadenovirus A	Partial genome	Mastadenovirus
12286	12267.0	7	HQ241818	Simian mastadenovirus A	Complete genome	Mastadenovirus
12288	12269.0	2	KP853111	Simian mastadenovirus B	Partial genome	Mastadenovirus
12289	12270.0	3	KP329561	Simian mastadenovirus B	Complete genome	Mastadenovirus
12290	12271.0	4	HQ241820	Simian mastadenovirus B	Complete genome	Mastadenovirus
12291	12272.0	5	JN880448	Simian mastadenovirus B	Complete genome	Mastadenovirus
12292	12273.0	6	KC693021	Simian mastadenovirus B	Complete genome	Mastadenovirus
12293	12274.0	7	KT013209	Simian mastadenovirus B	Complete genome	Mastadenovirus
12295	12276.0	2	KC693022	Simian mastadenovirus C	Complete genome	Mastadenovirus
12296	12277.0	3	KC693023	Simian mastadenovirus C	Complete genome	Mastadenovirus
12300	12281.0	2	KP329566	Simian mastadenovirus F	Complete genome	Mastadenovirus
12311	12292.0	2	MN687905	Psittacine siadenovirus D	Complete genome	Siadenovirus
12345	12326.0	2	KR815466	Alphabaculovirus angemmatalis	Complete genome	Alphabaculovirus
12349	12330.0	2	DQ457003	Alphabaculovirus aucalifornicae	Complete genome	Alphabaculovirus
12351	12332.0	2	FJ882854	Alphabaculovirus bomori	Complete genome	Alphabaculovirus
12369	12350.0	2	AF303045	Alphabaculovirus helarmigerae	Complete genome	Alphabaculovirus
12370	12351.0	3	AP010907	Alphabaculovirus helarmigerae	Complete genome	Alphabaculovirus
12381	12362.0	2	AF539999	Alphabaculovirus maconfiguratae	Complete genome	Alphabaculovirus
12447	12428.0	2	JN418988	Betanudivirus hezeae	Complete genome	Betanudivirus
12454	12435.0	2	AF440570	White spot syndrome virus	Complete genome	Whispovirus
12455	12436.0	3	AF369029	White spot syndrome virus	Complete genome	Whispovirus
12456	12437.0	4	JX515788	White spot syndrome virus	Complete genome	Whispovirus
12457	12438.0	5	KT995472	White spot syndrome virus	Complete genome	Whispovirus
12458	12439.0	6	KT995470	White spot syndrome virus	Complete genome	Whispovirus
12459	12440.0	7	KT995471	White spot syndrome virus	Complete genome	Whispovirus
12460	12441.0	8	KY827813	White spot syndrome virus	Complete genome	Whispovirus
12461	12442.0	9	KU216744	White spot syndrome virus	Complete genome	Whispovirus
12462	12443.0	10	KX686117	White spot syndrome virus	Complete genome	Whispovirus
12463	12444.0	11	MF768985	White spot syndrome virus	Complete genome	Whispovirus
12464	12445.0	12	MG702567	White spot syndrome virus	Complete genome	Whispovirus
12465	12446.0	13	MH090824	White spot syndrome virus	Complete genome	Whispovirus
12838	12819.0	2	MK570054	Nitmarvirus NSV1	Complete genome	Nitmarvirus
12839	12820.0	3	MK570055	Nitmarvirus NSV1	Complete genome	Nitmarvirus
